timestamp(ms),set,PWM,temp_int,time_of_one_cycle,temp_delta,temp_iï¿½>temp_int,time_of_me_of_one_cycle,
"1708894432.767",,,,,,"-25.08",,
"1708895651.201",,,,,,,"82",
"1708895965.271",,,"-29.95",,,,,
"1708895965.272","-30","9853","-29.96","83","0.05",,,
"1708895965.273",,,,"83","0.04",,,
"1708895965.274","-30","9660","-29.95",,,,,
"1708895965.278",,,,"83",,,,
"1708895965.279","-30","9853",,,"0.05",,,
"1708895965.28",,,"-29.92","83",,,,
"1708895965.281","-30",,,,"0.08",,,
"1708895965.282",,"10625","-29.97","83",,,,
"1708895965.283","-30","9274",,,"0.03",,,
"1708895965.284",,,"-30.02","82",,,,
"1708895965.285","-30",,,,"-0.02",,,
"1708895965.286",,"8116",,,,,,
"1708895965.287",,,"-30.04","83","-0.04",,,
"1708895965.288","-30","7536","-29.97",,,,,
"1708895965.289","-30","9467",,"83","0.03",,,
"1708895965.29",,,"-30.07","82","-0.07",,,
"1708895965.291","-30","6764","-30.05",,,,,
"1708895965.292",,,,"82","-0.05",,,
"1708895965.293","-30","7150","-30.14",,,,,
"1708895965.294","-30",,,"82","-0.14",,,
"1708895965.295",,"4833","-30.05",,,,,
"1708895965.296","-30","7343",,"82","-0.05",,,
"1708895965.297","-30",,"-30","82","0",,,
"1708895965.298","-30","6764","-30.07","82","-0.07",,,
"1708895965.299","-30",,"-29.99","83","0.01",,,
"1708895965.3","-30","8888","-29.97","83","0.03",,,
"1708895965.301","-30","9467","-30","82","0",,,
"1708895965.302","-30","8694","-29.87","83","0.13",,,
"1708895965.303","-30","11977","-29.88","83","0.12",,,
"1708895965.304","-30","11784","-29.88","83","0.12",,,
"1708895965.305","-30","11784","-29.97","83","0.03",,,
"1708895965.306","-30","9274","-29.81","83","0.19",,,
"1708895965.307",,"13714","-29.99","82","0.01",,,
"1708895965.308","-30","8888","-30.08",,,,,
"1708895965.309","-30","6378",,"82","-0.08",,,
"1708895965.31","-30",,"-29.96","83","0.04",,,
"1708895965.311","-30","9660","-29.94","82","0.06",,,
"1708895965.312","-30","9274","-29.97","83","0.03",,,
"1708895965.313","-30",,"-30.15","82","-0.15",,,
"1708895965.314","-30","4447","-30.12","83","-0.12",,,
"1708895965.315",,"5219","-30.1",,,,,
"1708895965.356",,,,"82",,,,
"1708895965.357",,,,,"-0.1",,,
"1708895965.358","-30","5992","-30.05",,,,,
"1708895965.359",,,,"82",,,,
"1708895965.36","-30","7150","-30.07","82","-0.05",,,
"1708895965.361",,,,,"-0.07",,,
"1708895965.396","-30","6764","-30.1",,,,,
"1708895965.397","-30",,,"83","-0.1",,,
"1708895965.398",,"5798","-29.97","82","0.03",,,
"1708895965.399","-30","9274","-30.02","82",,,,
"1708895965.401","-30","8115",,,"-0.02",,,
"1708895965.402",,,"-29.94","83",,,,
"1708895965.404","-30","10239",,,"0.06",,,
"1708895965.405",,,"-29.95","83",,,,
"1708895965.406","-30","9853","-29.94",,"0.05",,,
"1708895965.407","-30",,,"83","0.06",,,
"1708895965.408",,"10239","-29.87","83","0.13",,,
"1708895965.409","-30",,,,,,,
"1708895965.414","-30","11977","-30.1","82","-0.1",,,
"1708895965.415","-30","5799","-29.97","83","0.03",,,
"1708895965.416","-30","10239","-29.94","82","0.06",,,
"1708895965.417","-30","10046","-29.95","82","0.05",,,
"1708895965.418","-30","7150","-30.05","83","-0.05",,,
"1708895965.78",,,"-29.92",,,,,
"1708895965.781",,,,"83",,,,
"1708895965.782","-30",,,,"0.08",,,
"1708895965.783",,"10625",,,,,,
"1708895965.784",,,"-29.87",,,,,
"1708895965.785",,,,"83",,,,
"1708895965.786","-30","11977",,,"0.13",,,
"1708895965.787",,,"-29.94","82","0.06",,,
"1708895965.788","-30","10240","-30.02",,,,,
"1708895965.789","-30",,,"82","-0.02",,,
"1708895965.79",,"7923","-30.08",,,,,
"1708895965.791","-30","6378",,"82","-0.08",,,
"1708895965.792","-30",,"-30.09","82","-0.09",,,
"1708895965.793",,"6185","-30.02","82",,,,
"1708895965.794","-30","8116","-30.05",,"-0.02",,,
"1708895965.795","-30","7150",,"82","-0.05",,,
"1708895965.796","-30",,"-30.03","82","-0.03",,,
"1708895965.797",,"7729","-30.07","82","-0.07",,,
"1708895965.798","-30","6764","-30.03",,,,,
"1708895965.799","-30","7729",,"82","-0.03",,,
"1708895965.8","-30",,"-29.9","82","0.1",,,
"1708895965.801",,"11398","-29.82",,,,,
"1708895965.802","-30",,,"83","0.18",,,
"1708895965.803",,"13328","-29.92","83","0.08",,,
"1708895965.805","-30","10626","-29.78",,,,,
"1708895965.806","-30","14487",,"83","0.22",,,
"1708895965.807","-30","11784","-29.88","82","0.12",,,
"1708895965.808","-30","7730","-30.03","82","-0.03",,,
"1708895965.809","-30","11398","-29.9","83","0.1",,,
"1708895965.81","-30",,"-29.97","83","0.03",,,
"1708895965.811","-30","9468","-29.89","82","0.11",,,
"1708895965.812",,"11591","-29.92",,,,,
"1708895965.822",,,,"83",,,,
"1708895965.823","-30","10819","-30","82","0",,,
"1708895965.824","-30","8502","-29.95","82","0.05",,,
"1708895965.825","-30","10047","-29.97","83","0.03",,,
"1708895965.826","-30","9275","-29.95","83","0.05",,,
"1708895965.827","-30","9854","-30.02","82",,,,
"1708895965.828","-30","8116","-30.02","82","-0.02",,,
"1708895965.829","-30","8116","-30.12","83","-0.12",,,
"1708895965.83","-30","5220","-30.05","82","-0.05",,,
"1708895965.831","-30","7151","-30.02","82","-0.02",,,
"1708895965.832","-30","8116","-30.22","82","-0.22",,,
"1708895965.833","-30","2710","-30.02","82","-0.02",,,
"1708895965.834","-30","7923","-30.04","82","-0.04",,,
"1708895965.835","-30","7537","-30.02","82","-0.02",,,
"1708895965.836","-30","7923","-30.02","82","-0.02",,,
"1708895965.837",,"7923","-29.98","82","0.02",,,
"1708895965.838","-30","9081","-29.97","82",,,,
"1708895965.839","-30","9274","-30.01","82","0.03",,,
"1708895965.84","-30","8309","-29.96","83","-0.01",,,
"1708895965.841","-30","9661","-29.87","82","0.04",,,
"1708895965.842","-30","11977","-29.95",,"0.13",,,
"1708895965.843","-30","10047","-29.94","82","0.05",,,
"1708895965.844","-30",,,"82","0.06",,,
"1708895965.845","-30","5992","-30.1","82","-0.1",,,
"1708895965.846",,,"-29.99","83","0.01",,,
"1708895965.85","-30","8888",,,,,,
"1708895965.851","-30",,"-29.95","83","0.05",,,
"1708895966.293",,"9854",,,,,,
"1708895966.294",,,"-29.98","82","0.02",,,
"1708895966.295","-30","9082","-29.93",,,,,
"1708895966.296",,,,"82","0.07",,,
"1708895966.297","-30","10433",,,,,,
"1708895966.298",,,"-29.93","83","0.07",,,
"1708895966.299","-30","10433","-29.99",,,,,
"1708895966.3",,,,"83","0.01",,,
"1708895966.301","-30","8889",,,,,,
"1708895966.302",,,"-30.02","82",,,,
"1708895966.303","-30",,,,"-0.02",,,
"1708895966.304",,"7923",,,,,,
"1708895966.305",,,"-30.12","82",,,,
"1708895966.309",,,,,"-0.12",,,
"1708895966.31","-30","5220",,,,,,
"1708895966.311",,,"-30.2","82",,,,
"1708895966.312","-30","3289",,,"-0.2",,,
"1708895966.313",,,"-30.05","82",,,,
"1708895966.314",,,,,"-0.05",,,
"1708895966.317","-30","7151",,,,,,
"1708895966.318",,,"-30.09","82",,,,
"1708895966.319","-30","6185","-30",,"-0.09",,,
"1708895966.32",,,,"83","0",,,
"1708895966.321","-30","8695","-30.02",,,,,
"1708895966.322","-30","7923",,"82","-0.02",,,
"1708895966.323",,,"-29.9",,,,,
"1708895966.324","-30",,,"82","0.1",,,
"1708895966.325",,"11205","-29.98","83",,,,
"1708895966.332","-30","9081","-30.04",,"0.02",,,
"1708895966.333","-30","7537","-29.89","82","0.11",,,
"1708895966.334","-30","11591","-29.96","83","0.04",,,
"1708895966.335","-30","10240","-29.94","82","0.06",,,
"1708895966.336","-30","9081","-29.98","83","0.02",,,
"1708895966.337","-30","10047","-29.9","82","0.1",,,
"1708895966.338","-30","11012","-29.91","83","0.09",,,
"1708895966.339","-30",,"-29.96","83","0.04",,,
"1708895966.34","-30","9661","-30.15","82","-0.15",,,
"1708895966.341","-30","4641","-30.15","82","-0.15",,,
"1708895966.342","-30","2903","-30.08","82","-0.08",,,
"1708895966.343","-30","8309","-30.04","82","-0.04",,,
"1708895966.344","-30","7150","-30.05","83","-0.05",,,
"1708895966.345","-30","7730","-30.03","82","-0.03",,,
"1708895966.346","-30","11205","-29.9","82","0.1",,,
"1708895966.347","-30","11977","-29.99","82","0.01",,,
"1708895966.348","-30","10626","-29.92","83","0.08",,,
"1708895966.349","-30","8502","-30","82","0",,,
"1708895966.35","-30",,"-29.83","82","0.17",,,
"1708895966.351","-30","9854","-29.95","82","0.05",,,
"1708895966.352","-30",,"-30","83","0",,,
"1708895966.353","-30","8695","-30.05","82","-0.05",,,
"1708895966.354",,"7344","-30.08","82","-0.08",,,
"1708895966.355","-30","6378","-30.04","82",,,,
"1708895966.356","-30","7537","-30.12",,"-0.04",,,
"1708895966.357","-30","5413","-30.1","82","-0.12",,,
"1708895966.358","-30","5799","-30.05","82","-0.1",,,
"1708895966.359","-30","7151","-29.95","82","-0.05",,,
"1708895966.36","-30",,,,"0.05",,,
"1708895966.805",,"10047",,,,,,
"1708895966.806","-30","9274","-29.97","83","0.03",,,
"1708895966.807",,,"-29.91","83","0.09",,,
"1708895966.808","-30","11012","-29.94","82","0.06",,,
"1708895966.809","-30","10240","-29.92",,,,,
"1708895966.81","-30","10626",,"83","0.08",,,
"1708895966.811","-30",,"-29.91","83","0.09",,,
"1708895966.812",,"11012","-29.92","83","0.08",,,
"1708895966.813","-30","10819","-29.95","82",,,,
"1708895966.814","-30","10047","-29.95",,"0.05",,,
"1708895966.815","-30",,,"83","0.05",,,
"1708895966.816",,"9854","-29.94","82",,,,
"1708895966.817","-30","10240",,,"0.06",,,
"1708895966.824","-30","10047","-29.95","82","0.05",,,
"1708895966.825",,,"-29.92","82",,,,
"1708895966.826","-30","10626","-29.89",,"0.08",,,
"1708895966.827","-30","11592","-29.9","83","0.11",,,
"1708895966.828","-30","11399","-30.02","82","-0.02",,,
"1708895966.829","-30","7731","-30.03","82","-0.03",,,
"1708895966.83","-30","8117","-30.02","82","-0.02",,,
"1708895966.831","-30","6765","-30.12","82","-0.07",,,
"1708895966.832","-30","5413","-30.09","82","-0.09",,,
"1708895966.833","-30","6186","-30.15","83",,,,
"1708895966.834","-30","4641","-30.12","82","-0.12",,,
"1708895966.835","-30","5413","-30.06","82","-0.06",,,
"1708895966.836","-30","6378","-29.91","82","-0.08",,,
"1708895966.837","-30",,,"83","0.09",,,
"1708895966.844",,"11012",,,,,,
"1708895966.847",,,"-29.97",,,,,
"1708895966.848","-30",,,"83","0.03",,,
"1708895966.849",,"9275","-29.94",,,,,
"1708895966.85","-30",,,"82","0.06",,,
"1708895966.851",,"10240","-29.98",,,,,
"1708895966.852",,,,"83",,,,
"1708895966.853","-30",,,,"0.02",,,
"1708895966.854",,"9082","-29.93",,,,,
"1708895966.855",,,,"83","0.07",,,
"1708895966.856","-30","10433","-30.05",,,,,
"1708895966.857",,,,"82","-0.05",,,
"1708895966.859","-30",,,,,,,
"1708895966.86",,"7344",,,,,,
"1708895966.862",,,"-29.97","83",,,,
"1708895966.863","-30",,,,"0.03",,,
"1708895966.864",,"9275","-29.92",,,,,
"1708895966.865",,,,"83",,,,
"1708895966.866","-30","10819","-29.92","82","0.08",,,
"1708895966.867","-30","10626",,,"0.08",,,
"1708895966.88","-30",,"-29.96","83","0.04",,,
"1708895966.881","-30","9661","-29.92","82","0.08",,,
"1708895966.882",,"10626","-29.96","82",,,,
"1708895966.883","-30","9661","-30.05",,"0.04",,,
"1708895966.884","-30","7344",,"82","-0.05",,,
"1708895966.885","-30",,"-30.08","82","-0.08",,,
"1708895966.886","-30","6379","-30.1","82","-0.1",,,
"1708895966.887",,"5993","-30.13",,,,,
"1708895966.926",,,,"82",,,,
"1708895966.927",,,,,"-0.13",,,
"1708895966.928","-30",,,,,,,
"1708895966.929",,"5027","-30.12",,,,,
"1708895966.93","-30","5220",,"82","-0.12",,,
"1708895966.932",,,"-30.07",,,,,
"1708895966.933","-30","6765",,"82","-0.07",,,
"1708895966.934",,,"-30","83","0",,,
"1708895966.935","-30","8502","-30.03",,,,,
"1708895966.936","-30",,,"82","-0.03",,,
"1708895966.937",,"7730",,,,,,
"1708895966.938",,,"-30","82",,,,
"1708895966.939","-30","8695",,,"0",,,
"1708895966.94",,,"-29.9","83",,,,
"1708895966.941",,,,,"0.1",,,
"1708895967.318","-30","11205","-29.87","82","0.13",,,
"1708895967.319","-30","12170","-29.97","83","0.03",,,
"1708895967.32","-30","9275","-29.96","82",,,,
"1708895967.321","-30","9661","-29.99","82","0.04",,,
"1708895967.322","-30","8889","-29.92",,"0.01",,,
"1708895967.323","-30","10819","-30","82","0.08",,,
"1708895967.324",,,,"83",,,,
"1708895967.325","-30",,,,"0",,,
"1708895967.326","-30","8696","-29.99","82","0.01",,,
"1708895967.327","-30","8889","-30.08","82","-0.08",,,
"1708895967.328",,"6379","-30.13","82","-0.13",,,
"1708895967.329","-30","5027","-30.08","82",,,,
"1708895967.33","-30","6379",,,"-0.08",,,
"1708895967.331",,,"-30.07","82","-0.07",,,
"1708895967.332","-30","6765",,,,,,
"1708895967.34","-30","8309","-29.98","82","-0.01",,,
"1708895967.341",,,,"82","0.02",,,
"1708895967.342","-30","9081","-30.07",,,,,
"1708895967.343","-30","6571",,"82","-0.07",,,
"1708895967.344","-30",,"-29.88","83","0.12",,,
"1708895967.345",,"11784","-29.9","83","0.1",,,
"1708895967.346","-30","11398","-30.01",,,,,
"1708895967.347","-30","8309",,"82","-0.01",,,
"1708895967.348",,,"-29.95","82","0.05",,,
"1708895967.349","-30","10047","-29.91","83","0.09",,,
"1708895967.35","-30","11012","-29.96",,,,,
"1708895967.351","-30","9661",,"83","0.04",,,
"1708895967.352",,,"-30.05","82",,,,
"1708895967.353","-30","7344",,,"-0.05",,,
"1708895967.354","-30",,"-29.87","83","0.13",,,
"1708895967.355",,"11978","-29.98","83","0.02",,,
"1708895967.356","-30","9082","-29.95",,,,,
"1708895967.357","-30",,,"83","0.05",,,
"1708895967.358",,"9854","-30.05","82","-0.05",,,
"1708895967.359","-30","7151","-30.07",,,,,
"1708895967.36","-30",,,"82","-0.07",,,
"1708895967.361",,"6765","-30.11","82","-0.11",,,
"1708895967.362","-30","5606","-30.12",,,,,
"1708895967.363","-30","5220",,"83","-0.12",,,
"1708895967.364",,,"-30.1","82","-0.1",,,
"1708895967.367","-30",,,,,,,
"1708895967.368",,"5992","-29.95","83",,,,
"1708895967.369","-30",,,,"0.05",,,
"1708895967.37",,"9854","-30.05","82",,,,
"1708895967.371","-30","7344",,,"-0.05",,,
"1708895967.375",,,"-29.91",,,,,
"1708895967.376","-30",,,"83","0.09",,,
"1708895967.377",,"11012","-29.94","82",,,,
"1708895967.378","-30",,,,"0.06",,,
"1708895967.379",,"10240","-29.97","83",,,,
"1708895967.38","-30",,,,"0.03",,,
"1708895967.381",,"9275",,,,,,
"1708895967.382","-30","7344","-30.05","82","-0.05",,,
"1708895967.383",,,"-30","83","0",,,
"1708895967.384","-30","8695","-30.01",,,,,
"1708895967.385","-30",,,"82","-0.01",,,
"1708895967.386",,"8309","-29.97","82",,,,
"1708895967.387","-30","9468",,,"0.03",,,
"1708895967.388","-30",,"-29.95","83","0.05",,,
"1708895967.389",,"9854","-30","82","0",,,
"1708895967.39","-30","8695","-30",,,,,
"1708895967.392","-30","8695",,"83","0",,,
"1708895967.393",,,"-30.06","82","-0.06",,,
"1708895967.394","-30","6958","-30.17",,,,,
"1708895967.395","-30","4061",,"82","-0.17",,,
"1708895967.396",,,"-30.12","82",,,,
"1708895967.397","-30","5413","-30.15",,"-0.12",,,
"1708895967.398",,,,"82","-0.15",,,
"1708895967.83","-30","4641",,,,,,
"1708895967.831","-30","5992","-30.01","82","-0.1",,,
"1708895967.832","-30","8309","-29.94",,"-0.01",,,
"1708895967.833","-30","10240",,"83","0.06",,,
"1708895967.834","-30","7537","-30.02","82","-0.04",,,
"1708895967.835","-30","7923",,"82","-0.02",,,
"1708895967.836","-30","8502","-30","82","0",,,
"1708895967.837","-30","8309","-29.95","82","-0.01",,,
"1708895967.838","-30","9853",,"83","0.05",,,
"1708895967.839","-30","7343","-30.05","82","-0.05",,,
"1708895967.84","-30",,"-30","83","0",,,
"1708895967.841","-30","8695","-30.01","82","-0.01",,,
"1708895967.842",,"8309",,,,,,
"1708895967.843",,,"-30.05","82","-0.05",,,
"1708895967.844","-30","7150","-30.12","82",,,,
"1708895967.845","-30","5413","-30.1",,"-0.12",,,
"1708895967.846","-30","5799","-30.06","82","-0.1",,,
"1708895967.855",,,,,"-0.06",,,
"1708895967.856","-30","9274","-29.97","83","0.03",,,
"1708895967.857",,,"-30.05","82","-0.05",,,
"1708895967.858","-30",,,,,,,
"1708895967.859",,"7150","-30.02","82",,,,
"1708895967.86","-30","7922",,,"-0.02",,,
"1708895967.861","-30","8888","-29.99","83","0.01",,,
"1708895967.862","-30","9660","-29.96","83","0.04",,,
"1708895967.863","-30","9853","-29.95","82","0.05",,,
"1708895967.864","-30","10818","-29.92","82","0.08",,,
"1708895967.865","-30",,"-30","83","0",,,
"1708895967.866","-30","8695","-30","82","0",,,
"1708895967.867","-30","8695","-30","82","0",,,
"1708895967.868","-30","8695","-30.02","82","-0.02",,,
"1708895967.869","-30","8116","-30.11","83","-0.11",,,
"1708895967.87","-30","5606","-30.08","82","-0.08",,,
"1708895967.871",,"6378","-30.08","82","-0.08",,,
"1708895967.872","-30","6378","-30.02",,,,,
"1708895967.873","-30","8115",,"82","-0.02",,,
"1708895967.874","-30","8695","-30","83","0",,,
"1708895967.875",,,"-29.97","83","0.03",,,
"1708895967.876","-30","9467","-30","82","0",,,
"1708895967.877","-30","8502","-29.97","83",,,,
"1708895967.878","-30","9467","-30.07","82","0.03",,,
"1708895967.879","-30","6764","-29.87",,"-0.07",,,
"1708895967.88","-30","12170","-30","82","0.13",,,
"1708895967.881","-30","8502","-30.01","82","0",,,
"1708895967.882","-30","8309",,"82","-0.01",,,
"1708895967.883","-30","9081","-29.98","82","0.02",,,
"1708895967.884","-30","8695","-30","83","0",,,
"1708895967.885","-30","7343","-30.05","82","-0.05",,,
"1708895967.886","-30","4640","-30.15","82","-0.15",,,
"1708895967.887","-30","6957","-30","82","-0.06",,,
"1708895967.888","-30","8501",,"82","0",,,
"1708895967.889",,,"-30.1","82","-0.1",,,
"1708895968.344","-30","5798","-30","82",,,,
"1708895968.345",,,,,"0",,,
"1708895968.346","-30","8501",,,,,,
"1708895968.347",,,"-29.92","82",,,,
"1708895968.348",,,,,"0.08",,,
"1708895968.349","-30","10818",,,,,,
"1708895968.35","-30",,"-30","82","0",,,
"1708895968.351",,"8501","-30",,,,,
"1708895968.352",,,,"82","0",,,
"1708895968.353","-30","8501",,,,,,
"1708895968.354",,,"-29.87","83",,,,
"1708895968.355",,,,,"0.13",,,
"1708895968.356","-30","11976",,,,,,
"1708895968.357",,,"-29.94","83",,,,
"1708895968.358",,,,,"0.06",,,
"1708895968.361","-30","10239","-29.93",,,,,
"1708895968.362",,,,"83",,,,
"1708895968.363",,,,,"0.07",,,
"1708895968.364","-30","10432","-30.05",,,,,
"1708895968.365","-30","7150",,"82","-0.05",,,
"1708895968.366",,,"-30.04","82",,,,
"1708895968.367","-30",,,,"-0.04",,,
"1708895968.372","-30","7150","-30.15","82","-0.05",,,
"1708895968.373","-30","4640","-30.19","83","-0.15",,,
"1708895968.374","-30","3481","-30.12","83","-0.19",,,
"1708895968.375","-30","5412","-29.9","83","-0.12",,,
"1708895968.376","-30","11397","-29.93","82","0.1",,,
"1708895968.377","-30",,,,"0.07",,,
"1708895968.378","-30","10432","-29.94","83","0.07",,,
"1708895968.379","-30","10239","-30.02","82","0.06",,,
